Student,ID,SIS User ID,SIS Login ID,Section,Ready for R Prelab (314531),Histograms and Boxplots Prelab (314512),Mean versus Median Prelab (314527),Simulating Confidence Intervals Prelab (314532),Testing about Proportions Prelab (314530),Time Plots and QQ Plots Prelab (314545),CLT Prelab (314509),One Mean Prelab (314528),Paired Mean Prelab (314529),Comparing Two Means Prelab (314510),ANOVA Prelab (314496),Linear Regression Prelab (314526),Creative Reflection Prelab (314511),Attendance Lab 00: Sept 11-14 (314497),Attendance Lab 01: Sept 18-21 (314498),Attendance Lab 02: Sept 25-28 (314499),Attendance Lab 03: Oct 2-5 (314500),Attendance Lab 04: Oct 9-12 (314501),Attendance Lab 05: Oct 23-26 (314502),Attendance Lab 06: Oct 30-Nov 2 (314503),Attendance Lab 07: Nov 6-9 (314504),Attendance Lab 08: Nov 13-16 (314505),Attendance Lab 09: Nov 20-22 (314506),Attendance Lab 10: Nov 27-30 (314507),Attendance Lab 11: Dec 4-7 (314508),Ticket Lab 00: Sept 11-14 (314533),Ticket Lab 01: Sept 18-21 (314534),Ticket Lab 02: Sept 25-28 (314535),Ticket Lab 03: Oct 2-5 (314536),Ticket Lab 04: Oct 9-12 (314537),Ticket Lab 05: Oct 23-26 (314538),Ticket Lab 06: Oct 30-Nov 2 (314539),Ticket Lab 07: Nov 6-9 (314540),Ticket Lab 08: Nov 13-16 (314541),Ticket Lab 09: Nov 20-22 (314542),Ticket Lab 10: Nov 27-30 (314543),Ticket Lab 11: Dec 4-7 (314544),iclicker00 (314513),iclicker01 (314514),iclicker02 (314515),iclicker03 (314516),iclicker04 (314517),iclicker05 (314518),iclicker06 (314519),iclicker07 (314520),iclicker08 (314521),iclicker09 (314522),iclicker10 (314523),iclicker11 (314524),LecParticSept11-15 (379065),LecParticSept18-22 (379220),LecParticSept25-29 (379226),LecParticOct02-06 (387288),LecParticOct09-13 (387289),LecParticOct23-27 (387379),LecParticOct30-Nov03 (387382),LecParticNov06-10 (387383),LecParticNov13-17 (387387),"HW 1 Data, Sampling (314550)",HW 2 Plots Prob RV (314551),HW 3 About p (314552),HW 4 About p1-p2 (314553),HW 5 About one mean (314554),HW 6 About paired (314555),HW 7 About Two Means (314556),HW 8 ANOVA (314557),HW 9 Regression (314558),HW 10 Chi Square (314549),Exam 1 (314546),Exam 2 (314547),Final Exam (314548),Write To Learn #1 Pizza Study Design Initial Submission (341415),Write To Learn #1 Pizza Study Peer Review (395554),Write To Learn #1 Pizza Study Revision (341435),Write To Learn #2 Chocolate and Cycling Initial Submission (343539),Write To Learn #2 Chocolate and Cycling Peer Review (395644),Write To Learn #2 Chocolate and Cycling Revision (343733),EC ECoachWriting (355899),EC MWriteStartSurvey (355863),EC ECoachEx1Plan (355803),EC ECoachEx2Plan (355859),EC ECoachEndSurvey (355776),EC MWriteEndSurvey (355864),Practice Homework (355757),Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Dummy11,Dummy12,Dummy13,Dummy14,Dummy15,Dummy16,Dummy17,Dummy18,Dummy19,Dummy20,Dummy21,Dummy22,Dummy23,Dummy24,Dummy25,Dummy26,Dummy27,Dummy28,Dummy29,Dummy30,Prelab Assignments Current Score,Prelab Assignments Final Score,M-Write WTL Assignments Current Score,M-Write WTL Assignments Final Score,Homework Current Score,Homework Final Score,Exams Current Score,Exams Final Score,Lab Tickets Current Score,Lab Tickets Final Score,Lab Attendance Current Score,Lab Attendance Final Score,Lab iClicker Current Score,Lab iClicker Final Score,Lab Resources Current Score,Lab Resources Final Score,Lecture Participation Current Score,Lecture Participation Final Score,Other Current Score,Other Final Score,Current Score,Final Score
"STUDENT, A29",706509,806509,aaabbb,STATS 250 Section 000,2,1,2,1.5,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0,0,0,0,0,,,34,32.5,30,31,34,29.25,,,,,46,47.5,,3,3,3,,,,,2,2,2,,,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,90,45,92.29,60.56,62.33,37.4,100,66.67,100,66.67,100,75,,,28.57,22.22,68.75,50,68.47,41.84
"STUDENT, A30",621177,721177,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,2,1.5,2,1.5,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33.33,32,32,29,31,30.5,,,,,72,63.5,,3,3,4,,,,,2,,,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,100,50,90.76,59.63,90.33,54.2,100,66.67,100,66.67,100,75,,,100,77.78,83.33,45.45,91.12,55.39
"STUDENT, A31",733733,833733,aaabbb,STATS 250 Section 000,2,1,2,1.5,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0,0,0,,,26.33,34,32.5,31,32.5,31.5,,,,,69,68,,3,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,100,50,92.29,59.63,91.33,54.8,100,66.67,100,66.67,100,75,,,57.14,44.44,100,81.82,92.13,55.91
"STUDENT, A32",522908,622908,aaabbb,STATS 250 Section 000,2,1.5,2,1.5,2,1.5,2,1.5,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0,0.5,0.5,0.5,0.5,0.5,,,33,33,12.5,28,35,33.5,,,,,55,68.5,,3,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,100,50,92.86,55.56,82.33,49.4,100,66.67,100,66.67,100,75,,,85.71,66.67,88.89,72.73,84.93,51.14
"STUDENT, A33",592266,692266,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,1.5,1.5,2,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,0,,,,0,0.5,0.5,0,0,0,0,,,16.67,31,29.5,20.5,27,25.5,,,,,39.5,45,,3,3,4,,,,,,,2,,,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.33,57.69,100,50,76.29,47.67,56.33,33.8,100,66.67,100,66.67,88.89,66.67,,,28.57,22.22,58.33,31.82,62.14,37.63
"STUDENT, A34",565552,665552,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0,0,0,0,0.5,0.5,,,27.33,29.5,25,27.5,28,28.5,,,,,54.5,58,,3,3,4,,,,,2,,2,,,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,100,50,80.47,52.64,75,45,100,66.67,100,66.67,100,75,,,42.86,33.33,92.86,59.09,77.94,47.41
"STUDENT, A35",146490,246490,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,33,35,33.5,31,31.5,32.5,,,,,66.5,70,,2,3,4,,,,,2,,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,94.57,62.38,91,54.6,100,66.67,100,66.67,100,75,,,0,0,100,63.64,91.8,55.9
"STUDENT, A36",826959,926959,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31,30.5,32,27,32,31,,,,,62,63.5,,2,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,69.23,90,45,89.43,58.25,83.67,50.2,100,66.67,100,66.67,100,75,,,100,77.78,100,81.82,85.48,52
"STUDENT, A37",749335,849335,aaabbb,STATS 250 Section 000,2,1.5,2,1.5,2,1.5,2,2,0,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0,0.5,0.5,0.5,0.5,0,,,34,32,33,29,31,31,,,,,63,64,,2,2,3,,,,2,,2,2,,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.56,55.77,70,35,92,60.32,84.67,50.8,100,66.67,100,66.67,100,75,,,71.43,55.56,37.5,27.27,85.34,52.02
"STUDENT, A38",563601,663601,aaabbb,STATS 250 Section 000,2,2,2,2,0.5,0.5,2,2,0,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,22,32,3,13.5,15.5,13,,,,,59,46.5,,3,0,0,,,,,2,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.22,50,30,15,54.86,31.43,70.33,42.2,100,66.67,100,66.67,100,75,,,100,77.78,85.71,54.55,68.4,41.34
"STUDENT, A39",422703,522703,aaabbb,STATS 250 Section 000,2,1,2,1.5,2,0,2,1.5,1,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,25,31.5,30,26,17.5,28,,,,,63,52,,2,3,3,,,,,2,,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.22,50,80,40,80.29,50.16,76.67,46,100,66.67,100,66.67,100,75,,,100,77.78,78.57,50,78.01,47.25
"STUDENT, A40",320326,420326,aaabbb,STATS 250 Section 000,2,1,1.5,2,2,1.5,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,0,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,25.33,32.5,33,0,26,28,,,,,55,54,,2,3,3,,,,2,2,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.11,59.62,80,40,82.76,45.98,72.67,43.6,100,66.67,100,66.67,88.89,66.67,,,100,77.78,87.5,63.64,75.11,44.94
"STUDENT, A41",213121,313121,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33,33.5,33,29,33.5,35,,,,,69,73,,2,2,4,,,,,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,80,40,96,62.54,94.67,56.8,100,66.67,100,66.67,100,75,,,100,77.78,87.5,63.64,94.42,57.43
"STUDENT, A42",220480,320480,aaabbb,STATS 250 Section 000,2,2,2,1.5,1.5,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,0,0,,,,0.5,0.5,0.5,0.5,0,0.5,0.5,,,31,26.5,23.5,28,27.5,25.5,,,,,50.5,58.5,,3,3,3,,,,2,2,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,90,45,79.14,51.43,72.67,43.6,100,66.67,100,66.67,77.78,58.33,,,85.71,66.67,87.5,63.64,75.04,45.59
"STUDENT, A43",197996,297996,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0,0,0.5,0.5,,,25,26,23.5,23.5,30,24.5,,,,,40,46,,3,3,4,,,,,2,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,100,50,73.71,48.41,57.33,34.4,100,66.67,100,66.67,100,75,,,71.43,55.56,81.25,59.09,63.13,38.5
"STUDENT, A44",833174,933174,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0,,,34,34.5,33,28,35,34.5,,,,,60,56,,2,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,97.71,63.17,77.33,46.4,100,66.67,100,66.67,100,75,,,85.71,66.67,88.89,72.73,81.18,49.42
"STUDENT, A45",584641,684641,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,0,,,,0,0,0,0,0,0,0,,,35,35,0,32,35,35,,,,,65,61.5,,3,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,69.23,100,50,98.29,54.6,84.33,50.6,100,66.67,100,66.67,88.89,66.67,,,0,0,100,81.82,87.07,51.99
"STUDENT, A46",857340,957340,aaabbb,STATS 250 Section 000,2,2,2,1.5,1.5,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,32.33,33,29.5,30,28,29.75,,,,,63,59,,3,3,4,,,,,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,100,50,88.33,57.96,81.33,48.8,100,66.67,100,66.67,100,75,,,100,77.78,87.5,63.64,83.73,50.94
"STUDENT, A47",843087,943087,aaabbb,STATS 250 Section 000,2,2,2,1.5,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,34,34.5,30,28,32,30.5,,,,,67,70,,3,3,3,,,,2,2,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,92,60,91.33,54.8,100,66.67,100,66.67,100,75,,,100,77.78,83.33,68.18,91.81,55.82
"STUDENT, A48",679734,779734,aaabbb,STATS 250 Section 000,2,1.5,1.5,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0,0.5,0,0.5,0.5,0.5,,,29,33.5,29.5,30,26.5,28.5,,,,,50.5,56.5,,2,3,2,,,,2,2,2,2,,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,70,35,86,56.19,71.33,42.8,100,66.67,100,66.67,100,75,,,71.43,55.56,77.78,63.64,74.3,45.36
"STUDENT, A49",584460,684460,aaabbb,STATS 250 Section 000,2,2,2,1.5,1.5,1.5,2,2,1,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0,0,0,,,30,30,33,27,31,30.5,,,,,57,53,,2,3,4,,,,,2,,,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.11,59.62,90,45,88.29,57.62,73.33,44,100,66.67,100,66.67,100,75,,,57.14,44.44,75,40.91,76.82,46.79
"STUDENT, A50",200046,300046,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,1.5,1,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,0,2,0,2,0,2,2,0,,,,0,0,0,0,0,0,0,,,29,31.5,27,23,32.5,24.75,,,,,62,54.5,,2,3,4,,,,,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,90,45,82.71,53.25,77.67,46.6,100,66.67,100,66.67,55.56,41.67,,,0,0,100,72.73,78.89,47.8
"STUDENT, A51",690687,790687,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33.33,34,34,31,34.5,35,,,,,64,71,,3,3,4,,,,,2,2,2,,,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,100,50,97.62,64.07,90,54,100,66.67,100,66.67,100,75,,,100,77.78,93.75,68.18,91.71,55.79
"STUDENT, A52",670740,770740,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,30.33,32,30,31,35,32.5,,,,,61,60,,2,3,3,,,,,2,2,2,,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,80,40,91.9,60.58,80.67,48.4,100,66.67,100,66.67,100,75,,,0,0,75,54.55,82.87,50.56
"STUDENT, A53",443005,543005,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,35,33,34,30,30.5,30.75,,,,,67,65.5,,2,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,93.29,61.35,88.33,53,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,89.54,54.51
"STUDENT, A54",210678,310678,aaabbb,STATS 250 Section 000,1.5,1.5,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33,34.5,33,31,33,34.5,,,,,62,71,,2,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,90,45,96,63.17,88.67,53.2,100,66.67,100,66.67,100,75,,,100,77.78,100,81.82,89.97,54.78
"STUDENT, A55",632711,732711,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0,0.5,0.5,,,34,35,35,32,35,35,,,,,62,63.5,,3,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,100,50,99.43,65.4,83.67,50.2,100,66.67,100,66.67,100,75,,,85.71,66.67,88.89,72.73,86.71,52.8
"STUDENT, A56",696480,796480,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,30,35,32,29,33,31.5,,,,,65,69,,3,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,100,50,92.29,60.48,89.33,53.6,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,90.64,55.11
"STUDENT, A57",399725,499725,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33,30.5,30,25,33,29.5,,,,,64,67.5,,3,3,3,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,90,45,89.14,57.46,87.67,52.6,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,88.54,53.77
"STUDENT, A58",469641,569641,aaabbb,STATS 250 Section 000,2,1.5,2,0,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0,0,0,,,31,31.5,28.5,26,26,28.5,,,,,58,49,,3,3,4,,,,,,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.33,57.69,100,50,83.14,54.44,71.33,42.8,100,66.67,100,66.67,100,75,,,57.14,44.44,78.57,50,75.05,45.67
"STUDENT, A59",643712,743712,aaabbb,STATS 250 Section 000,2,2,2,2,1.5,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33,29.5,28,28,29,32,,,,,61,57,,2,3,3,,,,2,2,2,2,,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,80,40,86.57,56.98,78.67,47.2,100,66.67,100,66.67,100,75,,,100,77.78,77.78,63.64,80.68,49.2
"STUDENT, A60",445108,545108,aaabbb,STATS 250 Section 000,2,1,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,32,35,33,31,32,33.5,,,,,62,71,,3,3,4,,,,2,2,,2,,,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,100,50,94.57,62.38,88.67,53.2,100,66.67,100,66.67,100,75,,,100,77.78,68.75,50,90.22,54.9
